snr,ber
0,0.287458
1,0.262483
2,0.237346
3,0.211907
4,0.187665
5,0.164358
6,0.141576
7,0.119164
8,0.0984422
9,0.077697
10,0.0589825
11,0.0423863
12,0.02805
13,0.0171647
14,0.0093345
15,0.00442275
16,0.00179025
17,0.00057375
18,0.000149
19,2.525e-05
20,2.75e-06
