snr,ber
0,0.359795
1,0.342691
2,0.324367
3,0.305127
4,0.284164
5,0.262678
6,0.24031
7,0.217473
8,0.194881
9,0.173493
10,0.152629
11,0.133051
12,0.114781
13,0.096856
14,0.0802073
15,0.0642105
16,0.0492332
17,0.0357542
18,0.0242382
19,0.0150283
20,0.00851233
